hidden_layers,activation_fn,learning_rate,batch_size,epochs,test_loss,test_accuracy
[4],ReLU,1.0,16,250,0.7371292114257812,0.3174999952316284
[4],ReLU,1.0,32,1,0.6688848733901978,0.5525000095367432
[4],ReLU,1.0,32,10,1.0296905040740967,0.6850000023841858
[4],ReLU,1.0,32,25,0.6750902533531189,0.6850000023841858
[4],ReLU,1.0,32,50,0.7073005437850952,0.3199999928474426
[4],ReLU,1.0,32,100,0.615125298500061,0.6850000023841858
[4],ReLU,1.0,32,250,0.7139570713043213,0.3174999952316284
[4],ReLU,1.0,64,1,0.5653627514839172,0.6850000023841858
[4],ReLU,1.0,64,10,0.6093257665634155,0.6850000023841858
[4],ReLU,1.0,64,25,0.5620730519294739,0.6850000023841858
[4],ReLU,1.0,64,50,0.6359072923660278,0.6850000023841858
[4],ReLU,1.0,64,100,0.6219765543937683,0.6850000023841858
[4],ReLU,1.0,64,250,0.6530168652534485,0.6850000023841858
[4],ReLU,1.0,128,1,0.5037779808044434,0.8199999928474426
[4],ReLU,1.0,128,10,0.5284276604652405,0.6850000023841858
[4],ReLU,1.0,128,25,0.6535221338272095,0.6850000023841858
[4],ReLU,1.0,128,50,0.6808221340179443,0.6850000023841858
[4],ReLU,1.0,128,100,0.9011353850364685,0.6850000023841858
[4],ReLU,1.0,128,250,0.6477039456367493,0.6850000023841858
[4],ReLU,1.0,256,1,0.634238064289093,0.7049999833106995
[4],ReLU,1.0,256,10,0.6047170758247375,0.7300000190734863
[4],ReLU,1.0,256,25,0.5065300464630127,0.6850000023841858
[4],ReLU,1.0,256,50,0.6232927441596985,0.6850000023841858
[4],ReLU,1.0,256,100,0.609157383441925,0.6850000023841858
[4],ReLU,1.0,256,250,0.6113361120223999,0.6850000023841858
[4],ReLU,1.0,512,1,0.8923287391662598,0.3149999976158142
[4],ReLU,1.0,512,10,0.4509943723678589,0.862500011920929
[4],ReLU,1.0,512,25,0.5163726806640625,0.6424999833106995
[4],ReLU,1.0,512,50,0.44801294803619385,0.7649999856948853
[4],ReLU,1.0,512,100,0.5350232124328613,0.6200000047683716
[4],ReLU,1.0,512,250,0.6231330633163452,0.6850000023841858
[4],ReLU,0.1,16,1,0.37148094177246094,0.8500000238418579
[4],ReLU,0.1,16,10,0.3998633623123169,0.8500000238418579
[4],ReLU,0.1,16,25,0.360683411359787,0.8475000262260437
[4],ReLU,0.1,16,50,0.385874480009079,0.8500000238418579
[4],ReLU,0.1,16,100,0.36287257075309753,0.8349999785423279
[4],ReLU,0.1,16,250,0.4619024395942688,0.7724999785423279
[4],ReLU,0.1,32,1,0.35846850275993347,0.8500000238418579
[4],ReLU,0.1,32,10,0.35362231731414795,0.8650000095367432
[4],ReLU,0.1,32,25,0.3957597315311432,0.8550000190734863
[4],ReLU,0.1,32,50,0.3959674835205078,0.8399999737739563
[4],ReLU,0.1,32,100,0.38414421677589417,0.8125
[4],ReLU,0.1,32,250,0.3715149760246277,0.8349999785423279
[4],ReLU,0.1,64,1,0.3544534742832184,0.8525000214576721
[4],ReLU,0.1,64,10,0.3611365258693695,0.8424999713897705
[4],ReLU,0.1,64,25,0.36687636375427246,0.8324999809265137
[4],ReLU,0.1,64,50,0.3608209490776062,0.8500000238418579
[4],ReLU,0.1,64,100,0.38395488262176514,0.8500000238418579
[4],ReLU,0.1,64,250,0.39056259393692017,0.8550000190734863
[4],ReLU,0.1,128,1,0.40588951110839844,0.800000011920929
[4],ReLU,0.1,128,10,0.3414705693721771,0.8600000143051147
[4],ReLU,0.1,128,25,0.3601195812225342,0.8500000238418579
[4],ReLU,0.1,128,50,0.3605113923549652,0.8399999737739563
[4],ReLU,0.1,128,100,0.3388952612876892,0.862500011920929
[4],ReLU,0.1,128,250,0.3538171350955963,0.8450000286102295
[4],ReLU,0.1,256,1,0.3895307183265686,0.8299999833106995
[4],ReLU,0.1,256,10,0.35561898350715637,0.8450000286102295
[4],ReLU,0.1,256,25,0.3543565273284912,0.8450000286102295
[4],ReLU,0.1,256,50,0.35131627321243286,0.8424999713897705
[4],ReLU,0.1,256,100,0.36578959226608276,0.8424999713897705
