hidden_layers,activation_fn,learning_rate,batch_size,epochs,test_loss,test_accuracy
[8],ReLU,0.0001,32,1,0.7123066186904907,0.36250001192092896
[8],ReLU,0.0001,32,10,0.5820339322090149,0.6974999904632568
[8],ReLU,0.0001,32,25,0.6381379961967468,0.6474999785423279
[8],ReLU,0.0001,32,50,0.430208295583725,0.8500000238418579
[8],ReLU,0.0001,32,100,0.3647395074367523,0.8500000238418579
[8],ReLU,0.0001,32,250,0.349209189414978,0.8600000143051147
[8],ReLU,0.0001,64,1,0.6499229669570923,0.6850000023841858
[8],ReLU,0.0001,64,10,0.628244161605835,0.7475000023841858
[8],ReLU,0.0001,64,25,0.6314916014671326,0.6675000190734863
[8],ReLU,0.0001,64,50,0.5317666530609131,0.7599999904632568
[8],ReLU,0.0001,64,100,0.4614503085613251,0.8050000071525574
[8],ReLU,0.0001,64,250,0.34657543897628784,0.8475000262260437
[8],ReLU,0.0001,128,1,0.7562909126281738,0.39500001072883606
[8],ReLU,0.0001,128,10,0.7370498776435852,0.35749998688697815
[8],ReLU,0.0001,128,25,0.6165344715118408,0.675000011920929
[8],ReLU,0.0001,128,50,0.5999146103858948,0.6924999952316284
[8],ReLU,0.0001,128,100,0.4814477562904358,0.8174999952316284
[8],ReLU,0.0001,128,250,0.36927562952041626,0.8650000095367432
[8],ReLU,0.0001,256,1,0.8025289177894592,0.3149999976158142
[8],ReLU,0.0001,256,10,0.6515918970108032,0.6575000286102295
[8],ReLU,0.0001,256,25,0.845339298248291,0.3174999952316284
[8],ReLU,0.0001,256,50,0.5710220336914062,0.6850000023841858
[8],ReLU,0.0001,256,100,0.5867471098899841,0.6850000023841858
[8],ReLU,0.0001,256,250,0.5110103487968445,0.7724999785423279
[8],ReLU,0.0001,512,1,0.6545157432556152,0.6800000071525574
[8],ReLU,0.0001,512,10,0.6587521433830261,0.6775000095367432
[8],ReLU,0.0001,512,25,0.6860051155090332,0.5049999952316284
[8],ReLU,0.0001,512,50,0.908586859703064,0.3125
[8],ReLU,0.0001,512,100,0.7449005842208862,0.3725000023841858
[8],ReLU,0.0001,512,250,0.6134025454521179,0.7649999856948853
[8],Sigmoid,10.0,16,1,4.496617317199707,0.7250000238418579
[8],Sigmoid,10.0,16,10,10.485326766967773,0.7225000262260437
[8],Sigmoid,10.0,16,25,4.497278690338135,0.7825000286102295
[8],Sigmoid,10.0,16,50,1.943037509918213,0.7425000071525574
[8],Sigmoid,10.0,16,100,2.484269857406616,0.6200000047683716
[8],Sigmoid,10.0,16,250,1.3721407651901245,0.6424999833106995
[8],Sigmoid,10.0,32,1,1.159963607788086,0.7200000286102295
[8],Sigmoid,10.0,32,10,0.8260995745658875,0.7325000166893005
[8],Sigmoid,10.0,32,25,2.446058750152588,0.737500011920929
[8],Sigmoid,10.0,32,50,1.0163744688034058,0.7649999856948853
[8],Sigmoid,10.0,32,100,0.7910025715827942,0.7149999737739563
[8],Sigmoid,10.0,32,250,1.4649014472961426,0.5425000190734863
[8],Sigmoid,10.0,64,1,1.4332609176635742,0.7524999976158142
[8],Sigmoid,10.0,64,10,1.4398183822631836,0.6850000023841858
[8],Sigmoid,10.0,64,25,1.8553444147109985,0.6600000262260437
[8],Sigmoid,10.0,64,50,1.1317880153656006,0.7549999952316284
[8],Sigmoid,10.0,64,100,0.592934250831604,0.6850000023841858
[8],Sigmoid,10.0,64,250,0.760836660861969,0.6825000047683716
[8],Sigmoid,10.0,128,1,3.3888559341430664,0.7674999833106995
[8],Sigmoid,10.0,128,10,0.5814942717552185,0.699999988079071
[8],Sigmoid,10.0,128,25,1.0315674543380737,0.6800000071525574
[8],Sigmoid,10.0,128,50,0.9800620079040527,0.7724999785423279
[8],Sigmoid,10.0,128,100,0.6057647466659546,0.6850000023841858
[8],Sigmoid,10.0,128,250,1.8175560235977173,0.6850000023841858
[8],Sigmoid,10.0,256,1,3.4546308517456055,0.7450000047683716
[8],Sigmoid,10.0,256,10,0.7982352375984192,0.6725000143051147
[8],Sigmoid,10.0,256,25,0.9901549816131592,0.6625000238418579
[8],Sigmoid,10.0,256,50,0.4979478418827057,0.6449999809265137
[8],Sigmoid,10.0,256,100,0.7606884241104126,0.6349999904632568
[8],Sigmoid,10.0,256,250,0.8328291177749634,0.6800000071525574
[8],Sigmoid,10.0,512,1,6.868135452270508,0.48249998688697815
[8],Sigmoid,10.0,512,10,0.7907543182373047,0.6850000023841858
[8],Sigmoid,10.0,512,25,2.5125467777252197,0.7099999785423279
[8],Sigmoid,10.0,512,50,0.6136966943740845,0.6650000214576721
[8],Sigmoid,10.0,512,100,0.6040675044059753,0.6850000023841858
[8],Sigmoid,10.0,512,250,0.934157133102417,0.6299999952316284
[8],Sigmoid,1.0,16,1,0.5199247598648071,0.7149999737739563
[8],Sigmoid,1.0,16,10,0.5175115466117859,0.6850000023841858
[8],Sigmoid,1.0,16,25,0.43732261657714844,0.7950000166893005
[8],Sigmoid,1.0,16,50,0.4531541168689728,0.800000011920929
[8],Sigmoid,1.0,16,100,0.4661692678928375,0.7749999761581421
[8],Sigmoid,1.0,16,250,1.0493966341018677,0.7225000262260437
[8],Sigmoid,1.0,32,1,0.5292608737945557,0.7024999856948853
[8],Sigmoid,1.0,32,10,0.408226877450943,0.800000011920929
[8],Sigmoid,1.0,32,25,0.42510855197906494,0.8399999737739563
[8],Sigmoid,1.0,32,50,0.6094489693641663,0.8174999952316284
[8],Sigmoid,1.0,32,100,0.3118325471878052,0.875
[8],Sigmoid,1.0,32,250,0.4383073151111603,0.8075000047683716
[8],Sigmoid,1.0,64,1,0.516797661781311,0.800000011920929
[8],Sigmoid,1.0,64,10,0.43548068404197693,0.8050000071525574
[8],Sigmoid,1.0,64,25,0.41659408807754517,0.8299999833106995
[8],Sigmoid,1.0,64,50,0.35390347242355347,0.8125
[8],Sigmoid,1.0,64,100,0.3885197043418884,0.7649999856948853
[8],Sigmoid,1.0,64,250,0.36457768082618713,0.8050000071525574
[8],Sigmoid,1.0,128,1,0.48884347081184387,0.8399999737739563
[8],Sigmoid,1.0,128,10,0.44156715273857117,0.824999988079071
[8],Sigmoid,1.0,128,25,0.41693392395973206,0.8399999737739563
[8],Sigmoid,1.0,128,50,0.2675214409828186,0.8799999952316284
[8],Sigmoid,1.0,128,100,0.31881821155548096,0.875
[8],Sigmoid,1.0,128,250,0.4178806245326996,0.7524999976158142
[8],Sigmoid,1.0,256,1,0.49489080905914307,0.7599999904632568
[8],Sigmoid,1.0,256,10,0.35119742155075073,0.8424999713897705
[8],Sigmoid,1.0,256,25,0.3794107139110565,0.8575000166893005
[8],Sigmoid,1.0,256,50,0.35069698095321655,0.8600000143051147
[8],Sigmoid,1.0,256,100,0.39031746983528137,0.8125
[8],Sigmoid,1.0,256,250,0.12247274070978165,0.9624999761581421
[8],Sigmoid,1.0,512,1,0.4205738306045532,0.7975000143051147
[8],Sigmoid,1.0,512,10,0.4183473587036133,0.7925000190734863
[8],Sigmoid,1.0,512,25,0.3797595202922821,0.8374999761581421
[8],Sigmoid,1.0,512,50,0.3468671143054962,0.8475000262260437
[8],Sigmoid,1.0,512,100,0.38241204619407654,0.8374999761581421
[8],Sigmoid,1.0,512,250,0.29507482051849365,0.887499988079071
[8],Sigmoid,0.1,16,1,0.36962032318115234,0.862500011920929
[8],Sigmoid,0.1,16,10,0.0801020935177803,0.9700000286102295
[8],Sigmoid,0.1,16,25,0.05505257472395897,0.9775000214576721
[8],Sigmoid,0.1,16,50,0.03518896549940109,0.9900000095367432
[8],Sigmoid,0.1,16,100,0.08822226524353027,0.9800000190734863
[8],Sigmoid,0.1,16,250,0.04939156025648117,0.9925000071525574
[8],Sigmoid,0.1,32,1,0.37353289127349854,0.8324999809265137
[8],Sigmoid,0.1,32,10,0.11621502041816711,0.949999988079071
[8],Sigmoid,0.1,32,25,0.06038571521639824,0.9775000214576721
[8],Sigmoid,0.1,32,50,0.05524323880672455,0.9825000166893005
[8],Sigmoid,0.1,32,100,0.03442177549004555,0.9925000071525574
[8],Sigmoid,0.1,32,250,0.1378057599067688,0.9775000214576721
[8],Sigmoid,0.1,64,1,0.3531593084335327,0.8324999809265137
[8],Sigmoid,0.1,64,10,0.10798940807580948,0.9649999737739563
[8],Sigmoid,0.1,64,25,0.05174637958407402,0.9775000214576721
[8],Sigmoid,0.1,64,50,0.047030992805957794,0.9775000214576721
[8],Sigmoid,0.1,64,100,0.026940708979964256,0.9900000095367432
[8],Sigmoid,0.1,64,250,0.10163013637065887,0.9825000166893005
[8],Sigmoid,0.1,128,1,0.349950909614563,0.8424999713897705
[8],Sigmoid,0.1,128,10,0.2455807477235794,0.8899999856948853
[8],Sigmoid,0.1,128,25,0.0711987316608429,0.9775000214576721
[8],Sigmoid,0.1,128,50,0.04671396315097809,0.9825000166893005
[8],Sigmoid,0.1,128,100,0.03834418207406998,0.9825000166893005
[8],Sigmoid,0.1,128,250,0.03704369440674782,0.987500011920929
[8],Sigmoid,0.1,256,1,0.4037027060985565,0.8700000047683716
[8],Sigmoid,0.1,256,10,0.31458038091659546,0.875
[8],Sigmoid,0.1,256,25,0.13654400408267975,0.9474999904632568
[8],Sigmoid,0.1,256,50,0.07225499302148819,0.9700000286102295
[8],Sigmoid,0.1,256,100,0.034459277987480164,0.9825000166893005
[8],Sigmoid,0.1,256,250,0.019335713237524033,0.9925000071525574
[8],Sigmoid,0.1,512,1,0.5259239673614502,0.6850000023841858
[8],Sigmoid,0.1,512,10,0.35253679752349854,0.8475000262260437
[8],Sigmoid,0.1,512,25,0.27681565284729004,0.887499988079071
[8],Sigmoid,0.1,512,50,0.09862476587295532,0.9599999785423279
[8],Sigmoid,0.1,512,100,0.04994978755712509,0.9775000214576721
[8],Sigmoid,0.1,512,250,0.03227901831269264,0.9850000143051147
[8],Sigmoid,0.01,16,1,0.368428111076355,0.8500000238418579
[8],Sigmoid,0.01,16,10,0.3235800266265869,0.8650000095367432
[8],Sigmoid,0.01,16,25,0.1619929075241089,0.9424999952316284
[8],Sigmoid,0.01,16,50,0.07962300628423691,0.9725000262260437
[8],Sigmoid,0.01,16,100,0.040246304124593735,0.9825000166893005
[8],Sigmoid,0.01,16,250,0.03267333656549454,0.9925000071525574
[8],Sigmoid,0.01,32,1,0.4793134331703186,0.8475000262260437
[8],Sigmoid,0.01,32,10,0.33583664894104004,0.862500011920929
[8],Sigmoid,0.01,32,25,0.2715780436992645,0.862500011920929
[8],Sigmoid,0.01,32,50,0.11490655690431595,0.9649999737739563
[8],Sigmoid,0.01,32,100,0.05892455205321312,0.9800000190734863
[8],Sigmoid,0.01,32,250,0.020690886303782463,0.9925000071525574
[8],Sigmoid,0.01,64,1,0.5779650211334229,0.6850000023841858
[8],Sigmoid,0.01,64,10,0.34621697664260864,0.8525000214576721
[8],Sigmoid,0.01,64,25,0.2797073423862457,0.887499988079071
[8],Sigmoid,0.01,64,50,0.2088010013103485,0.9175000190734863
[8],Sigmoid,0.01,64,100,0.09512582421302795,0.9674999713897705
[8],Sigmoid,0.01,64,250,0.03669023513793945,0.9825000166893005
[8],Sigmoid,0.01,128,1,0.5956687927246094,0.6850000023841858
[8],Sigmoid,0.01,128,10,0.346716970205307,0.8525000214576721
[8],Sigmoid,0.01,128,25,0.3394570052623749,0.862500011920929
[8],Sigmoid,0.01,128,50,0.25646573305130005,0.8949999809265137
[8],Sigmoid,0.01,128,100,0.1484869122505188,0.9474999904632568
[8],Sigmoid,0.01,128,250,0.059845197945833206,0.9775000214576721
[8],Sigmoid,0.01,256,1,0.575173020362854,0.6924999952316284
[8],Sigmoid,0.01,256,10,0.352565199136734,0.8475000262260437
[8],Sigmoid,0.01,256,25,0.34425267577171326,0.8550000190734863
[8],Sigmoid,0.01,256,50,0.31100937724113464,0.8849999904632568
[8],Sigmoid,0.01,256,100,0.2066364735364914,0.9175000190734863
[8],Sigmoid,0.01,256,250,0.09591951221227646,0.9674999713897705
[8],Sigmoid,0.01,512,1,0.6137856245040894,0.6850000023841858
[8],Sigmoid,0.01,512,10,0.4623190760612488,0.8349999785423279
[8],Sigmoid,0.01,512,25,0.34793922305107117,0.8450000286102295
[8],Sigmoid,0.01,512,50,0.3436983525753021,0.8525000214576721
[8],Sigmoid,0.01,512,100,0.3147798180580139,0.8774999976158142
[8],Sigmoid,0.01,512,250,0.14493303000926971,0.9549999833106995
[8],Sigmoid,0.001,16,1,0.6938765645027161,0.5099999904632568
[8],Sigmoid,0.001,16,10,0.3875774145126343,0.8600000143051147
[8],Sigmoid,0.001,16,25,0.3473759591579437,0.8475000262260437
[8],Sigmoid,0.001,16,50,0.3456551730632782,0.8550000190734863
[8],Sigmoid,0.001,16,100,0.29597434401512146,0.887499988079071
[8],Sigmoid,0.001,16,250,0.13474752008914948,0.9549999833106995
[8],Sigmoid,0.001,32,1,0.6004284024238586,0.6875
[8],Sigmoid,0.001,32,10,0.4354362487792969,0.8299999833106995
[8],Sigmoid,0.001,32,25,0.3521272540092468,0.8550000190734863
[8],Sigmoid,0.001,32,50,0.34842249751091003,0.8450000286102295
[8],Sigmoid,0.001,32,100,0.3403807580471039,0.8675000071525574
[8],Sigmoid,0.001,32,250,0.20836946368217468,0.9175000190734863
[8],Sigmoid,0.001,64,1,0.6276068091392517,0.6850000023841858
[8],Sigmoid,0.001,64,10,0.5392352938652039,0.7174999713897705
[8],Sigmoid,0.001,64,25,0.39945927262306213,0.8675000071525574
[8],Sigmoid,0.001,64,50,0.34856849908828735,0.8525000214576721
[8],Sigmoid,0.001,64,100,0.34351393580436707,0.8500000238418579
[8],Sigmoid,0.001,64,250,0.3109104335308075,0.8799999952316284
[8],Sigmoid,0.001,128,1,0.625860333442688,0.6850000023841858
[8],Sigmoid,0.001,128,10,0.5697193145751953,0.7049999833106995
[8],Sigmoid,0.001,128,25,0.4880703389644623,0.7300000190734863
[8],Sigmoid,0.001,128,50,0.3683958351612091,0.8475000262260437
[8],Sigmoid,0.001,128,100,0.34595608711242676,0.8500000238418579
[8],Sigmoid,0.001,128,250,0.32586464285850525,0.8675000071525574
[8],Sigmoid,0.001,256,1,0.6040165424346924,0.6850000023841858
[8],Sigmoid,0.001,256,10,0.6208788156509399,0.6850000023841858
[8],Sigmoid,0.001,256,25,0.5588594079017639,0.6875
[8],Sigmoid,0.001,256,50,0.45124852657318115,0.8299999833106995
[8],Sigmoid,0.001,256,100,0.3662630319595337,0.8575000166893005
[8],Sigmoid,0.001,256,250,0.34179386496543884,0.8550000190734863
[8],Sigmoid,0.001,512,1,0.6633455753326416,0.6875
[8],Sigmoid,0.001,512,10,0.6198166608810425,0.6850000023841858
[8],Sigmoid,0.001,512,25,0.6436641216278076,0.6850000023841858
[8],Sigmoid,0.001,512,50,0.5560457110404968,0.6974999904632568
[8],Sigmoid,0.001,512,100,0.44524332880973816,0.8199999928474426
[8],Sigmoid,0.001,512,250,0.34706127643585205,0.8550000190734863
[8],Sigmoid,0.0001,16,1,0.6809284090995789,0.6524999737739563
[8],Sigmoid,0.0001,16,10,0.5990369915962219,0.6850000023841858
[8],Sigmoid,0.0001,16,25,0.5620458722114563,0.6850000023841858
[8],Sigmoid,0.0001,16,50,0.4824262261390686,0.7825000286102295
[8],Sigmoid,0.0001,16,100,0.3743838369846344,0.8399999737739563
[8],Sigmoid,0.0001,16,250,0.34574058651924133,0.8500000238418579
[8],Sigmoid,0.0001,32,1,0.7267103791236877,0.32499998807907104
[8],Sigmoid,0.0001,32,10,0.6025488972663879,0.6850000023841858
[8],Sigmoid,0.0001,32,25,0.5679142475128174,0.6875
[8],Sigmoid,0.0001,32,50,0.57796710729599,0.7124999761581421
[8],Sigmoid,0.0001,32,100,0.44089236855506897,0.8224999904632568
[8],Sigmoid,0.0001,32,250,0.3505396246910095,0.8500000238418579
[8],Sigmoid,0.0001,64,1,0.6463075280189514,0.6850000023841858
[8],Sigmoid,0.0001,64,10,0.6470704674720764,0.6850000023841858
[8],Sigmoid,0.0001,64,25,0.6019418239593506,0.6850000023841858
[8],Sigmoid,0.0001,64,50,0.5818415284156799,0.6850000023841858
[8],Sigmoid,0.0001,64,100,0.5298793911933899,0.737500011920929
[8],Sigmoid,0.0001,64,250,0.3912578225135803,0.8650000095367432
[8],Sigmoid,0.0001,128,1,0.702467143535614,0.36000001430511475
[8],Sigmoid,0.0001,128,10,0.6369833946228027,0.6850000023841858
[8],Sigmoid,0.0001,128,25,0.6063224673271179,0.6850000023841858
[8],Sigmoid,0.0001,128,50,0.6583423614501953,0.6850000023841858
[8],Sigmoid,0.0001,128,100,0.5774741768836975,0.6850000023841858
[8],Sigmoid,0.0001,128,250,0.4993837773799896,0.7549999952316284
[8],Sigmoid,0.0001,256,1,0.7207192778587341,0.3700000047683716
[8],Sigmoid,0.0001,256,10,0.625669538974762,0.6850000023841858
[8],Sigmoid,0.0001,256,25,0.6537823677062988,0.6875
[8],Sigmoid,0.0001,256,50,0.6810691952705383,0.6424999833106995
[8],Sigmoid,0.0001,256,100,0.6544562578201294,0.6825000047683716
[8],Sigmoid,0.0001,256,250,0.5342150330543518,0.7174999713897705
[8],Sigmoid,0.0001,512,1,0.7066657543182373,0.44999998807907104
[8],Sigmoid,0.0001,512,10,0.7890177369117737,0.3149999976158142
[8],Sigmoid,0.0001,512,25,0.8177634477615356,0.3149999976158142
[8],Sigmoid,0.0001,512,50,0.7720295786857605,0.3075000047683716
[8],Sigmoid,0.0001,512,100,0.6789469718933105,0.5899999737739563
[8],Sigmoid,0.0001,512,250,0.5704038143157959,0.6850000023841858
[8],Tanh,10.0,16,1,4.856481075286865,0.7174999713897705
[8],Tanh,10.0,16,10,7.344546318054199,0.7549999952316284
[8],Tanh,10.0,16,25,8.848740577697754,0.6575000286102295
[8],Tanh,10.0,16,50,6.340633392333984,0.75
[8],Tanh,10.0,16,100,10.289371490478516,0.7024999856948853
[8],Tanh,10.0,16,250,4.629682540893555,0.8025000095367432
[8],Tanh,10.0,32,1,10.446586608886719,0.6474999785423279
[8],Tanh,10.0,32,10,4.766088485717773,0.6949999928474426
[8],Tanh,10.0,32,25,3.453568458557129,0.7900000214576721
[8],Tanh,10.0,32,50,7.086277484893799,0.6025000214576721
[8],Tanh,10.0,32,100,4.683794021606445,0.6299999952316284
[8],Tanh,10.0,32,250,2.9107415676116943,0.7699999809265137
[8],Tanh,10.0,64,1,3.3945703506469727,0.6949999928474426
[8],Tanh,10.0,64,10,3.0883758068084717,0.7900000214576721
[8],Tanh,10.0,64,25,2.502899169921875,0.7225000262260437
[8],Tanh,10.0,64,50,5.80246114730835,0.6349999904632568
[8],Tanh,10.0,64,100,3.5456697940826416,0.7300000190734863
[8],Tanh,10.0,64,250,2.6769521236419678,0.6725000143051147
[8],Tanh,10.0,128,1,13.592972755432129,0.7900000214576721
[8],Tanh,10.0,128,10,3.5006165504455566,0.7099999785423279
[8],Tanh,10.0,128,25,1.1177146434783936,0.6324999928474426
[8],Tanh,10.0,128,50,2.6029961109161377,0.7524999976158142
[8],Tanh,10.0,128,100,2.481931447982788,0.7450000047683716
[8],Tanh,10.0,128,250,5.957168102264404,0.7074999809265137
[8],Tanh,10.0,256,1,17.054513931274414,0.7049999833106995
[8],Tanh,10.0,256,10,1.8930401802062988,0.6949999928474426
[8],Tanh,10.0,256,25,1.4451664686203003,0.699999988079071
[8],Tanh,10.0,256,50,1.291287899017334,0.6725000143051147
[8],Tanh,10.0,256,100,2.151188373565674,0.7649999856948853
[8],Tanh,10.0,256,250,2.7894446849823,0.7524999976158142
[8],Tanh,10.0,512,1,9.919321060180664,0.7524999976158142
[8],Tanh,10.0,512,10,1.5301097631454468,0.7975000143051147
[8],Tanh,10.0,512,25,1.0069985389709473,0.7174999713897705
[8],Tanh,10.0,512,50,1.2711697816848755,0.7799999713897705
[8],Tanh,10.0,512,100,2.6376094818115234,0.6150000095367432
[8],Tanh,10.0,512,250,1.1400164365768433,0.8125
[8],Tanh,1.0,16,1,1.735556960105896,0.7225000262260437
[8],Tanh,1.0,16,10,0.7607573866844177,0.7925000190734863
[8],Tanh,1.0,16,25,0.8406006693840027,0.7799999713897705
[8],Tanh,1.0,16,50,1.0227785110473633,0.7250000238418579
[8],Tanh,1.0,16,100,0.7336529493331909,0.8475000262260437
[8],Tanh,1.0,16,250,0.7514578104019165,0.8675000071525574
[8],Tanh,1.0,32,1,0.5083618760108948,0.8324999809265137
[8],Tanh,1.0,32,10,0.9526576399803162,0.7524999976158142
[8],Tanh,1.0,32,25,0.6656132340431213,0.7649999856948853
[8],Tanh,1.0,32,50,0.8583685159683228,0.7250000238418579
[8],Tanh,1.0,32,100,1.0965155363082886,0.7649999856948853
[8],Tanh,1.0,32,250,0.26756706833839417,0.8924999833106995
[8],Tanh,1.0,64,1,0.6102449893951416,0.7774999737739563
[8],Tanh,1.0,64,10,0.5350050926208496,0.8174999952316284
[8],Tanh,1.0,64,25,0.2745620608329773,0.9049999713897705
[8],Tanh,1.0,64,50,0.22071155905723572,0.9150000214576721
[8],Tanh,1.0,64,100,0.4125138521194458,0.8650000095367432
[8],Tanh,1.0,64,250,0.3008546233177185,0.9225000143051147
[8],Tanh,1.0,128,1,0.6496299505233765,0.7549999952316284
[8],Tanh,1.0,128,10,0.2662442624568939,0.8725000023841858
[8],Tanh,1.0,128,25,0.2981787919998169,0.8550000190734863
[8],Tanh,1.0,128,50,0.17657431960105896,0.9574999809265137
[8],Tanh,1.0,128,100,0.12155100703239441,0.9800000190734863
[8],Tanh,1.0,128,250,0.1265704184770584,0.9750000238418579
[8],Tanh,1.0,256,1,0.6192017197608948,0.7724999785423279
[8],Tanh,1.0,256,10,0.3184854984283447,0.875
[8],Tanh,1.0,256,25,0.3222561776638031,0.862500011920929
[8],Tanh,1.0,256,50,0.2162945568561554,0.9225000143051147
[8],Tanh,1.0,256,100,0.07503470778465271,0.9800000190734863
[8],Tanh,1.0,256,250,0.06748568266630173,0.9825000166893005
[8],Tanh,1.0,512,1,1.391700267791748,0.8075000047683716
[8],Tanh,1.0,512,10,0.3725305497646332,0.824999988079071
[8],Tanh,1.0,512,25,0.2802998423576355,0.8500000238418579
[8],Tanh,1.0,512,50,0.2445564866065979,0.9075000286102295
[8],Tanh,1.0,512,100,0.3010297119617462,0.8774999976158142
[8],Tanh,1.0,512,250,0.13851480185985565,0.9700000286102295
[8],Tanh,0.1,16,1,0.3259943723678589,0.8374999761581421
[8],Tanh,0.1,16,10,0.09647428244352341,0.9574999809265137
[8],Tanh,0.1,16,25,0.042002271860837936,0.9850000143051147
[8],Tanh,0.1,16,50,0.03613540902733803,0.987500011920929
[8],Tanh,0.1,16,100,0.08471151441335678,0.9850000143051147
[8],Tanh,0.1,16,250,0.09472009539604187,0.9850000143051147
[8],Tanh,0.1,32,1,0.371677428483963,0.8424999713897705
[8],Tanh,0.1,32,10,0.08941123634576797,0.9599999785423279
[8],Tanh,0.1,32,25,0.06388884037733078,0.9725000262260437
[8],Tanh,0.1,32,50,0.045280445367097855,0.9850000143051147
[8],Tanh,0.1,32,100,0.06149166077375412,0.9900000095367432
[8],Tanh,0.1,32,250,0.06250821799039841,0.9900000095367432
[8],Tanh,0.1,64,1,0.35619378089904785,0.8525000214576721
[8],Tanh,0.1,64,10,0.0674472376704216,0.9775000214576721
[8],Tanh,0.1,64,25,0.04362275078892708,0.987500011920929
[8],Tanh,0.1,64,50,0.04282707720994949,0.9825000166893005
[8],Tanh,0.1,64,100,0.02727881446480751,0.9950000047683716
[8],Tanh,0.1,64,250,0.05017807334661484,0.9900000095367432
[8],Tanh,0.1,128,1,0.37635117769241333,0.8450000286102295
[8],Tanh,0.1,128,10,0.08992654085159302,0.9599999785423279
[8],Tanh,0.1,128,25,0.06673696637153625,0.9750000238418579
[8],Tanh,0.1,128,50,0.02917489968240261,0.987500011920929
[8],Tanh,0.1,128,100,0.03769570216536522,0.9900000095367432
[8],Tanh,0.1,128,250,0.039988286793231964,0.9925000071525574
[8],Tanh,0.1,256,1,0.3523130416870117,0.8450000286102295
[8],Tanh,0.1,256,10,0.16772297024726868,0.9424999952316284
[8],Tanh,0.1,256,25,0.0595250241458416,0.9750000238418579
[8],Tanh,0.1,256,50,0.03957410156726837,0.987500011920929
[8],Tanh,0.1,256,100,0.03439677879214287,0.9900000095367432
[8],Tanh,0.1,256,250,0.03219648823142052,0.9900000095367432
[8],Tanh,0.1,512,1,0.3770970404148102,0.8475000262260437
[8],Tanh,0.1,512,10,0.2718574106693268,0.9024999737739563
[8],Tanh,0.1,512,25,0.11638243496417999,0.949999988079071
[8],Tanh,0.1,512,50,0.07236965000629425,0.9725000262260437
[8],Tanh,0.1,512,100,0.047532081604003906,0.9775000214576721
[8],Tanh,0.1,512,250,0.03978282958269119,0.9925000071525574
[8],Tanh,0.01,16,1,0.36666053533554077,0.8424999713897705
[8],Tanh,0.01,16,10,0.15136238932609558,0.9399999976158142
[8],Tanh,0.01,16,25,0.07013165950775146,0.9750000238418579
[8],Tanh,0.01,16,50,0.043099742382764816,0.9800000190734863
[8],Tanh,0.01,16,100,0.02353215217590332,0.9900000095367432
[8],Tanh,0.01,16,250,0.03496241942048073,0.9950000047683716
[8],Tanh,0.01,32,1,0.34822365641593933,0.8575000166893005
[8],Tanh,0.01,32,10,0.24115461111068726,0.8924999833106995
[8],Tanh,0.01,32,25,0.12155263125896454,0.9549999833106995
[8],Tanh,0.01,32,50,0.0663616806268692,0.9725000262260437
[8],Tanh,0.01,32,100,0.02861117385327816,0.9900000095367432
[8],Tanh,0.01,32,250,0.026686666533350945,0.9925000071525574
[8],Tanh,0.01,64,1,0.40456926822662354,0.8349999785423279
[8],Tanh,0.01,64,10,0.31299731135368347,0.8725000023841858
[8],Tanh,0.01,64,25,0.1476828008890152,0.949999988079071
[8],Tanh,0.01,64,50,0.09505964070558548,0.9700000286102295
[8],Tanh,0.01,64,100,0.0490054115653038,0.9825000166893005
[8],Tanh,0.01,64,250,0.03671098127961159,0.9850000143051147
[8],Tanh,0.01,128,1,0.5568622350692749,0.7450000047683716
[8],Tanh,0.01,128,10,0.32822611927986145,0.8600000143051147
[8],Tanh,0.01,128,25,0.25693991780281067,0.8824999928474426
[8],Tanh,0.01,128,50,0.13823148608207703,0.949999988079071
[8],Tanh,0.01,128,100,0.06796921044588089,0.9700000286102295
[8],Tanh,0.01,128,250,0.041431352496147156,0.987500011920929
[8],Tanh,0.01,256,1,0.5576807260513306,0.7549999952316284
[8],Tanh,0.01,256,10,0.34225142002105713,0.8525000214576721
[8],Tanh,0.01,256,25,0.32117390632629395,0.8700000047683716
[8],Tanh,0.01,256,50,0.19068622589111328,0.9175000190734863
[8],Tanh,0.01,256,100,0.11091485619544983,0.9574999809265137
[8],Tanh,0.01,256,250,0.06824576109647751,0.9775000214576721
[8],Tanh,0.01,512,1,0.7409924864768982,0.35249999165534973
[8],Tanh,0.01,512,10,0.34882885217666626,0.8550000190734863
[8],Tanh,0.01,512,25,0.3411702811717987,0.8550000190734863
[8],Tanh,0.01,512,50,0.25510385632514954,0.8849999904632568
[8],Tanh,0.01,512,100,0.16401851177215576,0.9300000071525574
[8],Tanh,0.01,512,250,0.08833349496126175,0.9674999713897705
[8],Tanh,0.001,16,1,0.5587610006332397,0.7450000047683716
[8],Tanh,0.001,16,10,0.34231531620025635,0.8525000214576721
[8],Tanh,0.001,16,25,0.3339887261390686,0.8550000190734863
[8],Tanh,0.001,16,50,0.3040255308151245,0.8725000023841858
[8],Tanh,0.001,16,100,0.1508818417787552,0.949999988079071
[8],Tanh,0.001,16,250,0.046825118362903595,0.9825000166893005
[8],Tanh,0.001,32,1,0.5200216770172119,0.7674999833106995
[8],Tanh,0.001,32,10,0.34735947847366333,0.8500000238418579
[8],Tanh,0.001,32,25,0.3382258117198944,0.862500011920929
[8],Tanh,0.001,32,50,0.32192668318748474,0.8774999976158142
